Time: 4.750 ms, Membrane potential: -64.948 mV
Time: 4.775 ms, Membrane potential: -64.948 mV
Time: 4.800 ms, Membrane potential: -64.948 mV
Time: 4.825 ms, Membrane potential: -64.949 mV
Time: 4.850 ms, Membrane potential: -64.949 mV
Time: 4.875 ms, Membrane potential: -64.949 mV
Time: 4.900 ms, Membrane potential: -64.949 mV
Time: 4.925 ms, Membrane potential: -64.949 mV
Time: 4.950 ms, Membrane potential: -64.949 mV
Time: 4.975 ms, Membrane potential: -64.949 mV
Time: 5.000 ms, Membrane potential: -64.949 mV
Time: 5.025 ms, Membrane potential: -64.949 mV
Time: 5.050 ms, Membrane potential: -64.949 mV
Time: 5.075 ms, Membrane potential: -64.949 mV
Time: 5.100 ms, Membrane potential: -64.950 mV
Time: 5.125 ms, Membrane potential: -64.950 mV
Time: 5.150 ms, Membrane potential: -64.950 mV
Time: 5.175 ms, Membrane potential: -64.950 mV
Time: 5.200 ms, Membrane potential: -64.950 mV
Time: 5.225 ms, Membrane potential: -64.950 mV
Time: 5.250 ms, Membrane potential: -64.950 mV
Time: 5.275 ms, Membrane potential: -64.950 mV
Time: 5.300 ms, Membrane potential: -64.950 mV
Time: 5.325 ms, Membrane potential: -64.951 mV
Time: 5.350 ms, Membrane potential: -64.951 mV
Time: 5.375 ms, Membrane potential: -64.951 mV
Time: 5.400 ms, Membrane potential: -64.951 mV
Time: 5.425 ms, Membrane potential: -64.951 mV
Time: 5.450 ms, Membrane potential: -64.951 mV
Time: 5.475 ms, Membrane potential: -64.951 mV
Time: 5.500 ms, Membrane potential: -64.951 mV
Time: 5.525 ms, Membrane potential: -64.952 mV
Time: 5.550 ms, Membrane potential: -64.952 mV
Time: 5.575 ms, Membrane potential: -64.952 mV
Time: 5.600 ms, Membrane potential: -64.952 mV
Time: 5.625 ms, Membrane potential: -64.952 mV
Time: 5.650 ms, Membrane potential: -64.952 mV
Time: 5.675 ms, Membrane potential: -64.952 mV
Time: 5.700 ms, Membrane potential: -64.953 mV
Time: 5.725 ms, Membrane potential: -64.953 mV
Time: 5.750 ms, Membrane potential: -64.953 mV
Time: 5.775 ms, Membrane potential: -64.953 mV
Time: 5.800 ms, Membrane potential: -64.953 mV
Time: 5.825 ms, Membrane potential: -64.953 mV
Time: 5.850 ms, Membrane potential: -64.953 mV
Time: 5.875 ms, Membrane potential: -64.954 mV
Time: 5.900 ms, Membrane potential: -64.954 mV
Time: 5.925 ms, Membrane potential: -64.954 mV
Time: 5.950 ms, Membrane potential: -64.954 mV
Time: 5.975 ms, Membrane potential: -64.954 mV
Time: 6.000 ms, Membrane potential: -64.954 mV
Time: 6.025 ms, Membrane potential: -64.954 mV
Time: 6.050 ms, Membrane potential: -64.955 mV
Time: 6.075 ms, Membrane potential: -64.955 mV
Time: 6.100 ms, Membrane potential: -64.955 mV
Time: 6.125 ms, Membrane potential: -64.955 mV
Time: 6.150 ms, Membrane potential: -64.955 mV
Time: 6.175 ms, Membrane potential: -64.955 mV
Time: 6.200 ms, Membrane potential: -64.956 mV
Time: 6.225 ms, Membrane potential: -64.956 mV
Time: 6.250 ms, Membrane potential: -64.956 mV
Time: 6.275 ms, Membrane potential: -64.956 mV
Time: 6.300 ms, Membrane potential: -64.956 mV
Time: 6.325 ms, Membrane potential: -64.956 mV
Time: 6.350 ms, Membrane potential: -64.956 mV
Time: 6.375 ms, Membrane potential: -64.957 mV
Time: 6.400 ms, Membrane potential: -64.957 mV
Time: 6.425 ms, Membrane potential: -64.957 mV
Time: 6.450 ms, Membrane potential: -64.957 mV
Time: 6.475 ms, Membrane potential: -64.957 mV
Time: 6.500 ms, Membrane potential: -64.957 mV
Time: 6.525 ms, Membrane potential: -64.958 mV
Time: 6.550 ms, Membrane potential: -64.958 mV
Time: 6.575 ms, Membrane potential: -64.958 mV
Time: 6.600 ms, Membrane potential: -64.958 mV
Time: 6.625 ms, Membrane potential: -64.958 mV
Time: 6.650 ms, Membrane potential: -64.958 mV
Time: 6.675 ms, Membrane potential: -64.959 mV
Time: 6.700 ms, Membrane potential: -64.959 mV
Time: 6.725 ms, Membrane potential: -64.959 mV
Time: 6.750 ms, Membrane potential: -64.959 mV
Time: 6.775 ms, Membrane potential: -64.959 mV
